"origin_1","origin_2","destination_1","destination_2","start_odometer","end_odometer","distance_km","date","partition_0"
"Brandon","","Saskatoon","","100000","100659","659","","job-excel-to-csv_25May2026_1779753226712"
"Winnipeg","","Brandon","","62845","63060","215","""java.util.GregorianCalendar[time=?","job-excel-to-csv_25May2026_1779753226712"
"Edmonton","","Kelowna","","92604","93179","575","03-06-2016","job-excel-to-csv_25May2026_1779753226712"
"Lankey","","Burnaby","","41908","41938","30","""java.util.GregorianCalendar[time=?","job-excel-to-csv_25May2026_1779753226712"
"Brandon","","Barrie","","128412","130112","1700","","job-excel-to-csv_25May2026_1779753226712"
"Willowdale","","Caledon","","78955","79035","80","""java.util.GregorianCalendar[time=?","job-excel-to-csv_25May2026_1779753226712"
"Kelowna","","Langley","","247330","247720","390","""Jan 7 2023""","job-excel-to-csv_25May2026_1779753226712"
"""Red Deer""","","Regina","","104148","104938","790","","job-excel-to-csv_25May2026_1779753226712"
"Regina","","Winnipeg","","104938","105510","572","","job-excel-to-csv_25May2026_1779753226712"
"Barrie","ON","Willowdale","ON","211390","211480","90","""java.util.GregorianCalendar[time=?","job-excel-to-csv_25May2026_1779753226712"
